300000807	KiwiSecurity Software GmbH	www.kiwisecurity.com	2007	Wien	AT
300000829	TeamBank AG Nürnberg	www.teambank.at	1998	Wien	AT
300002601	IQ MEDIEN GmbH	www.protouris.at	2008	Abersee	AT
300002705	Cantaloop GmbH		2008	Wien	AT
300002837	Good Life Sports GLS GmbH	easy-sports.at	2008	Dornbirn	AT
300005997	Caverion Österreich GmbH	www.caverion.at	1956	Wien	AT
300006499	Travel Charme Kleinwalsertal GmbH	www.travelcharme.com/ifenhotel	2008	Hirschegg	AT
300007086	PRA - Public Relations Agentur GmbH	www.minc.at	2008	Wien	AT
300008397	tripwolf GmbH	www.tripwolf.com	2008	Wien	AT
300009319	ZONE Media GmbH	www.zonemedia.at	2008	Wien	AT
300009803	qpunkt GmbH	www.qpunkt.at	2008	Hart	AT
300013210	Strategyn iip innovation in progress GmbH	www.strategyn.at	2008	Amstetten	AT
300015274	Wolf GmbH	www.bellevue-lech.at	2008	Lech	AT
300016931	Idl GmbH	www.waffen-idl.at	2008	Lienz	AT
300017887	Venue Management GmbH		2008	Berndorf bei Salzburg	AT
300019578	Bezirksrundschau GmbH	www.bezirksrundschau.com	2008	Linz	AT
300023030	eMagnetix Online Marketing GmbH	www.emagnetix.at	2008	Bad Leonfelden	AT
300025151	Aconex AG		2000	Wien	AT
300025379	Symptoma GmbH	www.clickforknowledge.com	2009	Attersee	AT
300029184	JKT Immobilien GmbH		2008	Wien	AT
300030278	Anadeo Consulting GmbH		2009	Wien	AT
300030804	AUGUSTIN QUEHENBERGER GROUP GMBH	www.augustin-quehenberger.com	1989	Straßwalchen	AT
300087464	LEDON GmbH	www.ledon-lamp.com	2009	Lustenau	AT
300153442	Dinkhauser Kartonagen GmbH	www.dinkhauser.at	1901	Hall in Tirol	AT
300156650	PORR AG	www.porr-group.com	1867	Wien	AT
300164436	Otti Personalmanagement KG	www.otti.at	2000	Wien	AT
300165586	Umdasch Group AG	www.umdasch.com	1868	Amstetten	AT
300166196	Salamander Austria GmbH	www.salamander.at	1919	Wien	AT
300169281	Newbase GmbH	www.thenewbase.com/austria/homepage	1991	Wien	AT
300170613	Sattler GmbH	www.gaertnereisattler.at	2009	Völkermarkt	AT
300175619	REHAU Gesellschaft m.b.H.	www.rehau.at	1980	Guntramsdorf	AT
300186798	SANOVA Pharma GesmbH	www.sanova.at	1946	Wien	AT
300188093	HOST Handels GmbH	www.dasfutterhaus.at	2009	Spielberg bei Knittelfeld	AT
300188227	Reisewitz LRPS GmbH in Liqu.	www.lrps.net	2009	Wien	AT
300189428	AMO GmbH		2009	Salzburg	AT
300189569	YOUSURE Tarifvergleich GmbH	www.durchblicker.at	2009	Wien	AT
300190715	FACC AG	www.facc.com	2009	Ried im Innkreis	AT
300191005	Steuer & Service Steuerberatungs GmbH	www.steuer-service.at	2009	Wien	AT
300191137	INTECO melting and casting technologies GmbH	www.inteco.at	1973	Bruck an der Mur	AT
300191400	Mayr-Melnhof Karton Gesellschaft m.b.H.	www.mm-karton.com	1988	Wien	AT
300191430	XXXLutz KG	www.xxxlutz.at	1945	Wels	AT
300191684	RTS Wind GmbH	runtimegroup.com	2009	Rannersdorf	AT
300191947	ODS Management GmbH	www.odoerfer.at	1908	Graz	AT
300194887	Technogroup IT-Service GmbH	www.technogroup.at	2009	Groß-Enzersdorf	AT
300195340	SYMVARO GmbH	symvaro.com	2009	Klagenfurt	AT
300196572	myWarm GmbH	www.mywarm.at	2010	Wien	AT
300197326	Pro Automation GmbH	www.proautomation.at	2010	Wien	AT
300197754	SIG Sales Austria GmbH	www.sigeurope.at	2010	St. Pölten	AT
300202463	Brother International GmbH	www.brother.at	2009	Wien	AT
300203600	energieeffizienz GmbH	www.energieeffizienz.com	2010	Wien	AT
300204121	AVI GmbH		2010	Wels	AT
300205862	DI Siedl & DI Maurer ZT GmbH, Ingenieure und Architekten	www.smp-zt.at	2010	Wr. Neustadt	AT
300207457	Alpen Media GmbH		2010	Wien	AT
300208923	VA Intertrading Aktiengesellschaft	www.vait.com	1970	Linz	AT
300210964	Lang GmbH		2010	Judendorf-Straßengel	AT
300210977	InsideAX-GmbH	www.insideAx.at	2010	Pasching	AT
300210986	Head Sport GmbH	www.head.com	1984	Kennelbach	AT
300211832	OMV Trading GmbH	www.omv.com	2010	Wien	AT
300212297	LIEBHERR-INTERNATIONAL AUSTRIA GMBH	www.liebherr.com	1976	Bischofshofen	AT
